id,version_id,local_language_id,name
125,25,16,Sole
126,26,16,Luna
127,27,16,Ultrasole
128,28,16,Ultraluna
129,25,17,Sonne
130,26,17,Mond
131,27,17,Ultrasonne
132,28,17,Ultramond
133,25,14,Soleil
134,26,14,Lune
135,25,15,Sol
136,26,15,Luna
137,25,1,サン
138,26,1,ムーン
139,25,10,太陽
140,26,10,月亮
141,25,9,太阳
142,26,9,月亮
143,25,6,썬
144,26,6,문
145,27,1,ウルトラサン
146,28,1,ウルトラムーン
147,27,10,究極之日
148,28,10,究極之月
149,27,9,究极之日
150,28,9,究极之月
151,27,14,Ultra-Soleil
152,28,14,Ultra-Lune
153,27,6,울트라썬
154,28,6,울트라문
155,27,15,Ultrasol
156,28,15,Ultraluna
157,23,6,오메가루비
158,24,6,알파사파이어
159,23,15,Rubí Omega
160,24,15,Zafiro Alfa
161,21,6,X
162,22,6,Y
163,21,15,X
164,22,15,Y
165,17,6,블랙
166,18,6,화이트
167,19,6,블랙2
168,20,6,화이트2
169,17,15,Negro
170,18,15,Blanco
171,19,15,Negro 2
172,20,15,Blanco 2
173,15,6,하트골드
174,16,6,소울실버
175,15,15,Oro HeartGold
176,16,15,Plata SoulSilver
177,14,6,Pt 기라티나
178,14,15,Platino
179,12,6,DP 디아루가
180,13,6,DP 펄기아
181,12,15,Diamante
182,13,15,Perla
183,11,6,에메랄드
184,11,15,Esmeralda
185,9,6,파이어레드
186,10,6,리프그린
187,9,15,Rojo Fuego
188,10,15,Verde Hoja
189,7,6,루비
190,8,6,사파이어
191,7,15,Rubí
192,8,15,Zafiro
193,6,15,Cristal
194,4,15,Oro
195,5,15,Plata
196,1,15,Rojo
197,2,15,Azul
198,3,15,Amarillo
